                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.702,                 2.3363,                 1.8233,                0.42715,                0.20519,                0.17182,                0.06467,                 2.6652,                 3.4556,                 1.9746,                    0.1,                      0,                      0
                      1,                 2.7546,                 2.4258,                 1.8515,                0.16844,                0.32567,                0.17743,                0.06658,                 2.6674,                 3.4143,                 1.9736,                 0.0991,             9.9802e-05,             9.9802e-05
                      2,                 2.7107,                 2.3235,                 1.7979,                0.17733,                0.32771,                0.18192,                0.06777,                 2.6637,                 3.3894,                 1.9666,               0.098199,             0.00019921,             0.00019921
                      3,                 2.7636,                 2.3742,                 1.8211,                  0.176,                 0.3304,                0.18093,                0.06788,                 2.6543,                 3.3552,                 1.9596,               0.097298,             0.00029822,             0.00029822
                      4,                 2.7738,                 2.3981,                 1.8604,                0.17204,                0.33245,                0.17935,                0.06807,                 2.6488,                 3.3099,                 1.9504,               0.096397,             0.00039683,             0.00039683
                      5,                 2.7062,                 2.3475,                 1.8154,                0.17346,                 0.3263,                0.18043,                0.06862,                 2.6506,                 3.2686,                 1.9493,               0.095495,             0.00049505,             0.00049505
                      6,                 2.7572,                 2.3805,                 1.8102,                0.16258,                0.33245,                0.17534,                0.06752,                 2.6502,                 3.2362,                 1.9447,               0.094593,             0.00059287,             0.00059287
                      7,                 2.6991,                  2.317,                 1.7871,                 0.1593,                0.37163,                0.18984,                0.07313,                  2.573,                 3.0036,                 1.8957,                0.09369,              0.0006903,              0.0006903
                      8,                 2.7383,                 2.2849,                 1.8134,                0.36872,                0.23254,                0.18742,                0.07777,                 2.4756,                 2.6376,                 1.8337,               0.092787,             0.00078733,             0.00078733
                      9,                 2.6965,                 2.2492,                  1.786,                0.16192,                0.43039,                0.20215,                0.08319,                 2.4226,                 2.5816,                  1.805,               0.091884,             0.00088396,             0.00088396
                     10,                 2.5758,                  2.158,                 1.7793,                0.21205,                0.42647,                0.22582,                0.09886,                 2.3292,                  2.775,                 1.7645,                0.09098,              0.0009802,              0.0009802
                     11,                 2.5667,                 2.0408,                  1.756,                0.37563,                0.31959,                0.25735,                0.10899,                 2.2338,                 3.3645,                 1.7209,               0.090076,               0.001076,               0.001076
                     12,                 2.5201,                 1.9678,                  1.712,                0.33965,                 0.4177,                0.29631,                0.12524,                 2.1264,                 3.3653,                 1.6711,               0.089171,              0.0011715,              0.0011715
                     13,                 2.4469,                 1.8812,                 1.7096,                 0.3735,                0.44012,                 0.3309,                0.13214,                 2.0976,                 3.5208,                  1.662,               0.088267,              0.0012665,              0.0012665
                     14,                 2.4114,                 1.8129,                 1.6631,                 0.3579,                0.53528,                0.38889,                 0.1554,                 2.0147,                 3.7788,                 1.6099,               0.087361,              0.0013612,              0.0013612
                     15,                 2.3779,                 1.7386,                 1.6502,                 0.4568,                0.52368,                0.46132,                 0.1868,                 1.9446,                 2.8533,                 1.5176,               0.086455,              0.0014555,              0.0014555
                     16,                 2.2279,                  1.677,                  1.608,                0.47055,                0.56185,                 0.5137,                0.21902,                 1.8482,                 2.0551,                 1.4256,               0.085549,              0.0015493,              0.0015493
                     17,                 2.2549,                 1.6189,                 1.5647,                0.51485,                0.59171,                0.53465,                0.22939,                 1.8373,                 1.8584,                 1.3855,               0.084643,              0.0016428,              0.0016428
                     18,                 2.2009,                 1.5322,                 1.5496,                0.59524,                0.60023,                0.58516,                0.25703,                 1.7998,                 1.6391,                 1.3453,               0.083736,              0.0017358,              0.0017358
                     19,                 2.2038,                  1.505,                 1.5013,                0.61788,                 0.6649,                0.64336,                0.27195,                 1.8603,                 1.7767,                 1.3473,               0.082829,              0.0018285,              0.0018285
                     20,                 2.1793,                 1.5175,                 1.5043,                0.61975,                0.64122,                0.61811,                0.27593,                 1.7874,                 1.4074,                 1.2979,               0.081921,              0.0019208,              0.0019208
                     21,                 2.1261,                  1.473,                 1.4654,                0.64331,                 0.7441,                0.69409,                0.31772,                 1.7587,                 1.4998,                 1.2857,               0.081013,              0.0020127,              0.0020127
