                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.1851,                 4.7755,                 2.8426,                      0,                      0,                      0,                      0,                 4.5435,                 5.0657,                  2.218,                    0.1,                      0,                      0
                      1,                  5.364,                  4.882,                 2.8426,                0.00123,                0.00208,                0.00062,                0.00025,                 4.5809,                 5.0626,                 2.2323,                 0.0991,             9.9802e-05,             9.9802e-05
                      2,                 5.1723,                 4.7719,                 2.8226,                0.00124,                0.00208,                0.00063,                0.00025,                  4.625,                 5.0591,                 2.2438,               0.098199,             0.00019921,             0.00019921
                      3,                 5.2869,                 4.8428,                 2.8454,                0.00127,                0.00208,                0.00064,                0.00026,                 4.6549,                 5.0555,                 2.2557,               0.097298,             0.00029822,             0.00029822
                      4,                 5.0724,                 4.8252,                 2.8149,                0.00128,                0.00208,                0.00065,                0.00026,                 4.6895,                 5.0593,                 2.2707,               0.096397,             0.00039683,             0.00039683
                      5,                 5.0591,                 4.8778,                 2.4889,                0.00128,                0.00208,                0.00065,                0.00039,                 4.7045,                 5.0553,                 2.2762,               0.095495,             0.00049505,             0.00049505
                      6,                 5.1401,                 4.8599,                 2.5913,                0.00128,                0.00208,                0.00065,                0.00032,                 4.6628,                 4.9341,                 2.2446,               0.094593,             0.00059287,             0.00059287
                      7,                 5.2229,                 4.7985,                 2.7804,                0.00128,                0.00208,                0.00065,                0.00013,                 4.6047,                 4.7672,                 2.2204,                0.09369,              0.0006903,              0.0006903
                      8,                 5.3217,                 4.6569,                 2.6752,                 0.0013,                0.00208,                 0.0008,                0.00016,                  4.572,                 4.5093,                 2.2239,               0.092787,             0.00078733,             0.00078733
                      9,                 5.2696,                  4.581,                   2.62,                0.00882,                0.01313,                0.00467,                0.00147,                 4.4462,                 4.0856,                 2.1727,               0.091884,             0.00088396,             0.00088396
                     10,                 5.2471,                  4.168,                 2.4813,                0.02105,                0.03252,                0.01139,                0.00278,                 4.2275,                 3.5795,                 2.0903,                0.09098,              0.0009802,              0.0009802
                     11,                 5.2177,                 3.9888,                  2.444,                0.02228,                0.03813,                0.01247,                 0.0034,                 4.2185,                 3.2715,                 2.0938,               0.090076,               0.001076,               0.001076
                     12,                 4.6928,                 3.8794,                 2.4151,                0.05058,                 0.0673,                0.03101,                0.00603,                 4.0418,                 2.9499,                 2.0452,               0.089171,              0.0011715,              0.0011715
                     13,                 4.7154,                 3.5401,                 2.3218,                0.14749,                0.09502,                0.08342,                0.01395,                 3.8202,                 2.5807,                 1.9929,               0.088267,              0.0012665,              0.0012665
                     14,                 4.5053,                 3.2417,                 2.2188,                 0.1437,                0.11105,                0.08798,                0.01482,                 3.7367,                 2.3636,                 1.9891,               0.087361,              0.0013612,              0.0013612
                     15,                  4.356,                  3.053,                 2.2517,                0.55262,                 0.0875,                 0.0375,                0.01265,                 3.6167,                 2.3497,                 1.9632,               0.086455,              0.0014555,              0.0014555
                     16,                  4.082,                 2.7322,                  1.971,                0.58605,                0.08958,                0.05155,                0.01351,                 3.6388,                 2.7421,                 1.9726,               0.085549,              0.0015493,              0.0015493
                     17,                 4.0068,                  2.582,                 2.0158,                0.08332,                0.10208,                0.05509,                0.01447,                 3.6258,                 3.8611,                 1.9836,               0.084643,              0.0016428,              0.0016428
                     18,                 4.1083,                 2.4035,                 1.8676,                0.55901,                0.08333,                0.03617,                0.00877,                 3.8455,                 3.6962,                 1.9956,               0.083736,              0.0017358,              0.0017358
                     19,                 3.4114,                 2.3327,                 1.8927,                 0.0932,                0.10272,                0.05244,                0.01942,                 3.7729,                 3.6956,                 1.9812,               0.082829,              0.0018285,              0.0018285
                     20,                 3.5803,                 2.2669,                 1.8679,                 0.0755,                0.10861,                0.05203,                0.01371,                  3.869,                 2.9376,                 2.0369,               0.081921,              0.0019208,              0.0019208
                     21,                  3.567,                 2.1467,                  1.813,                0.07934,                0.11341,                0.05116,                0.01338,                 3.7358,                 3.3817,                 1.9847,               0.081013,              0.0020127,              0.0020127
                     22,                 3.3952,                 1.9941,                 1.7386,                0.07329,                0.09067,                0.04437,                0.01258,                 3.7496,                 3.0353,                 2.0077,               0.080104,              0.0021042,              0.0021042
                     23,                 3.4451,                 2.0314,                 1.7255,                0.08169,                0.11513,                 0.0562,                0.01347,                 3.7105,                 2.8487,                 1.9963,               0.079195,              0.0021953,              0.0021953
                     24,                 3.3184,                  1.952,                 1.7165,                0.08745,                 0.1231,                0.05837,                0.01388,                 3.7544,                 2.9851,                 1.8999,               0.078286,               0.002286,               0.002286
                     25,                 3.2634,                 2.0259,                 1.6964,                0.17042,                0.19067,                0.11364,                0.03798,                 3.2545,                 2.6916,                 1.7788,               0.077376,              0.0023762,              0.0023762
                     26,                 3.3001,                 1.8351,                 1.6192,                0.10522,                  0.149,                0.07588,                0.01767,                 3.7165,                 3.1266,                 1.7078,               0.076466,              0.0024662,              0.0024662
                     27,                 3.2157,                 1.9107,                   1.65,                0.16994,                0.23053,                0.13136,                 0.0448,                 3.0991,                 2.4513,                 1.6485,               0.075556,              0.0025557,              0.0025557
                     28,                 3.1386,                 1.8206,                 1.5463,                 0.1895,                0.21042,                 0.1259,                0.03866,                 3.2889,                 2.3137,                 1.6305,               0.074645,              0.0026448,              0.0026448
                     29,                 3.0301,                 1.7558,                 1.5835,                0.22465,                0.22352,                 0.1524,                0.04979,                 2.9564,                 2.1224,                 1.6256,               0.073733,              0.0027335,              0.0027335
                     30,                 3.0597,                 1.8036,                 1.6534,                0.20436,                0.25906,                0.17418,                0.06246,                 2.8661,                 2.1389,                 1.6166,               0.072822,              0.0028218,              0.0028218
                     31,                 2.9094,                 1.9531,                 1.5654,                0.22346,                  0.224,                0.14557,                0.04891,                 3.2017,                 1.8695,                 1.6044,                0.07191,              0.0029097,              0.0029097
                     32,                 2.7807,                 1.8176,                 1.4664,                0.20453,                0.22554,                0.16458,                0.05851,                 3.0681,                 1.7506,                 1.5775,               0.070997,              0.0029972,              0.0029972
                     33,                 3.1063,                 1.7532,                 1.4868,                0.14505,                0.18261,                0.12521,                 0.0329,                 3.4724,                 1.9716,                 1.5557,               0.070084,              0.0030844,              0.0030844
                     34,                  2.855,                  1.694,                 1.4986,                0.30531,                0.28596,                0.25729,                0.09995,                 2.5664,                 1.8145,                 1.4915,               0.069171,              0.0031711,              0.0031711
                     35,                 3.0692,                 1.7072,                 1.4473,                0.22895,                0.24375,                 0.1993,                0.06148,                 3.0305,                  1.697,                 1.5627,               0.068257,              0.0032574,              0.0032574
                     36,                 2.7283,                 1.6296,                 1.4729,                0.30259,                0.30752,                0.28387,                0.10966,                 2.6253,                 1.7378,                 1.5798,               0.067343,              0.0033434,              0.0033434
                     37,                  2.694,                 1.6346,                 1.4964,                0.28307,                0.29538,                0.26389,                0.10297,                 2.6218,                 1.9393,                 1.5878,               0.066429,              0.0034289,              0.0034289
                     38,                 2.6822,                 1.4944,                 1.4558,                0.28447,                0.29955,                0.27039,                0.09338,                 2.8336,                 2.0597,                 1.6014,               0.065514,              0.0035141,              0.0035141
                     39,                 3.0742,                 1.5542,                 1.4525,                0.30752,                0.30371,                0.28092,                0.10105,                 2.7904,                 2.1494,                 1.5418,               0.064599,              0.0035988,              0.0035988
                     40,                 2.6156,                 1.5848,                 1.4711,                0.35898,                0.35815,                0.32903,                0.13014,                 2.4918,                 1.9858,                 1.4905,               0.063683,              0.0036832,              0.0036832
                     41,                 2.9196,                 1.5293,                 1.4087,                 0.2733,                0.30263,                0.24475,                0.08074,                 2.8066,                 2.3325,                 1.4744,               0.062767,              0.0037672,              0.0037672
                     42,                 2.7959,                   1.58,                 1.4192,                0.28099,                0.33397,                 0.2856,                 0.1153,                 2.6126,                 1.7117,                 1.4819,               0.061851,              0.0038507,              0.0038507
                     43,                 2.5988,                 1.4915,                 1.3664,                 0.3842,                0.21295,                0.24646,                0.09227,                 2.6885,                 2.2361,                 1.4588,               0.060934,              0.0039339,              0.0039339
                     44,                 2.6885,                 1.6469,                 1.3777,                0.39006,                0.35915,                0.34793,                0.14236,                 2.4215,                 1.4065,                 1.4405,               0.060017,              0.0040167,              0.0040167
                     45,                  2.364,                 1.5576,                 1.3358,                0.38109,                0.26544,                0.29842,                0.10889,                 2.6042,                 1.4803,                 1.5161,               0.059099,              0.0040991,              0.0040991
                     46,                 2.5106,                   1.53,                 1.4198,                0.37218,                0.25254,                0.28987,                0.10995,                 2.6287,                 1.9582,                 1.5237,               0.058181,               0.004181,               0.004181
                     47,                 2.6315,                 1.5925,                 1.3547,                0.23265,                0.20598,                0.17107,                0.04701,                 3.2704,                 1.8037,                  1.541,               0.057263,              0.0042626,              0.0042626
                     48,                  2.861,                 1.7396,                 1.3657,                0.28286,                0.37264,                0.27541,                0.08841,                 2.8068,                 1.5692,                 1.4631,               0.056344,              0.0043438,              0.0043438
                     49,                 2.7277,                  1.584,                 1.4099,                0.30624,                0.31603,                0.29455,                0.09299,                 2.9014,                 1.7027,                 1.5143,               0.055425,              0.0044246,              0.0044246
                     50,                 2.4764,                 1.6092,                  1.376,                0.30936,                0.41694,                0.33372,                0.12065,                 2.5984,                 1.4258,                 1.4975,               0.054505,               0.004505,               0.004505
                     51,                 2.2938,                 1.4391,                 1.3119,                0.29544,                0.35761,                0.31111,                0.10963,                 2.7903,                 1.4821,                 1.4746,               0.053585,               0.004585,               0.004585
                     52,                 2.4657,                 1.3805,                 1.3494,                0.46773,                0.32786,                0.35062,                 0.1243,                 2.6209,                 1.5035,                 1.4474,               0.052665,              0.0046646,              0.0046646
                     53,                 2.5318,                 1.3195,                 1.3661,                0.33372,                0.36757,                0.33777,                0.10173,                 2.7628,                 2.1495,                  1.405,               0.051744,              0.0047438,              0.0047438
                     54,                 2.5402,                 1.8672,                 1.2967,                0.30296,                0.36132,                0.28853,                 0.0831,                 2.7367,                 1.5035,                 1.3935,               0.050823,              0.0048226,              0.0048226
                     55,                 2.4806,                 1.3934,                  1.368,                0.31776,                0.36504,                0.30782,                0.09271,                 2.7357,                 1.4809,                 1.4691,               0.049901,              0.0049011,              0.0049011
                     56,                 2.6458,                 1.4305,                 1.3601,                0.43547,                0.41182,                0.38693,                0.15384,                 2.3272,                 1.3309,                 1.3605,               0.048979,              0.0049791,              0.0049791
                     57,                 2.3802,                 1.3166,                  1.291,                0.20457,                0.25516,                0.18136,                0.04524,                 3.2091,                 1.8011,                 1.4352,               0.048057,              0.0050567,              0.0050567
                     58,                 2.7229,                 1.5376,                 1.3673,                0.30916,                0.39864,                0.32515,                0.11133,                 2.5791,                 1.5002,                 1.3956,               0.047134,              0.0051339,              0.0051339
                     59,                 2.2876,                 1.3875,                 1.2652,                0.35996,                0.43351,                0.34906,                0.12761,                 2.3975,                 1.4731,                 1.3487,               0.046211,              0.0052108,              0.0052108
                     60,                 2.3975,                 1.4773,                 1.3101,                 0.3575,                0.35942,                0.30437,                0.10606,                 2.5641,                 1.4768,                 1.4071,               0.045287,              0.0052872,              0.0052872
                     61,                 2.1894,                 1.2872,                 1.2939,                0.35351,                0.30543,                0.29865,                0.10835,                  2.686,                 1.5299,                  1.469,               0.044363,              0.0053632,              0.0053632
                     62,                 3.0425,                 1.4954,                 1.3839,                0.41639,                0.40815,                0.38032,                 0.1429,                 2.4364,                 1.4829,                 1.4042,               0.043439,              0.0054389,              0.0054389
                     63,                  2.549,                 1.3831,                 1.3182,                0.21918,                0.23016,                0.19102,                0.05705,                 3.0615,                 1.9531,                 1.4537,               0.042514,              0.0055141,              0.0055141
                     64,                 2.4986,                 1.4846,                 1.2702,                 0.4635,                0.42005,                0.40481,                0.14919,                 2.4627,                 1.3524,                 1.3875,               0.041589,               0.005589,               0.005589
