                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5215,                 4.3854,                 2.2479,                0.00169,                0.01025,                0.00087,                0.00043,                 3.4079,                 4.9854,                 2.3611,                    0.1,                      0,                      0
                      1,                 3.5605,                  4.372,                 2.2877,                0.00169,                0.01025,                0.00087,                0.00045,                  3.416,                 4.9831,                 2.3588,                 0.0991,             9.9604e-05,             9.9604e-05
                      2,                 3.5194,                 4.3468,                 2.2016,                0.00169,                0.01025,                0.00087,                0.00038,                 3.4149,                 4.9788,                 2.3521,               0.098198,             0.00019842,             0.00019842
                      3,                 3.6082,                 4.4111,                 2.2498,                0.00169,                0.01025,                0.00086,                0.00034,                 3.4169,                 4.9671,                 2.3467,               0.097296,             0.00029644,             0.00029644
                      4,                 3.6039,                 4.3494,                 2.2729,                 0.0017,                0.01025,                0.00087,                0.00034,                 3.4217,                 4.9577,                 2.3455,               0.096394,             0.00039366,             0.00039366
                      5,                 3.5532,                   4.41,                 2.2477,                0.00068,                 0.0041,                0.00034,                0.00014,                 3.4219,                 4.9543,                 2.3426,                0.09549,              0.0004901,              0.0004901
                      6,                 3.6227,                 4.4486,                 2.2661,                0.00068,                 0.0041,                0.00034,                0.00024,                 3.4248,                 4.9493,                 2.3453,               0.094586,             0.00058574,             0.00058574
                      7,                 3.6641,                 4.4349,                 2.2904,                0.00068,                 0.0041,                0.00034,                0.00022,                  3.424,                 4.9377,                 2.3428,               0.093681,              0.0006806,              0.0006806
                      8,                 3.5854,                 4.3685,                 2.2382,                0.00068,                 0.0041,                0.00035,                0.00021,                 3.4135,                  4.919,                 2.3344,               0.092775,             0.00077466,             0.00077466
                      9,                 3.5669,                 4.3896,                 2.2445,                0.00068,                 0.0041,                0.00035,                0.00022,                 3.4087,                 4.9115,                 2.3307,               0.091868,             0.00086792,             0.00086792
