                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.955,                  2.511,                 1.9663,                0.53979,                0.60131,                0.57327,                0.21949,                 2.2715,                 1.2829,                 1.1337,                    0.1,                      0,                      0
                      1,                 4.3842,                 2.9142,                 2.1146,                0.54223,                0.59891,                0.57751,                0.21342,                 2.3025,                 1.2963,                 1.1373,                 0.0991,             9.9604e-05,             9.9604e-05
                      2,                 4.0775,                 2.7035,                 2.0669,                0.55177,                0.59139,                0.57838,                 0.2117,                 2.3272,                 1.3071,                 1.1409,               0.098198,             0.00019842,             0.00019842
                      3,                 4.2401,                 2.8105,                 2.0745,                0.54747,                0.57763,                0.56818,                0.21415,                 2.3166,                 1.3007,                 1.1377,               0.097296,             0.00029644,             0.00029644
                      4,                 3.8177,                 2.3983,                 1.9174,                0.53491,                0.59286,                0.56872,                0.21836,                 2.2931,                 1.2948,                 1.1348,               0.096394,             0.00039366,             0.00039366
                      5,                  4.028,                 2.5239,                 1.9617,                0.50335,                0.61412,                0.56162,                0.21221,                 2.2683,                 1.3139,                 1.1303,                0.09549,              0.0004901,              0.0004901
                      6,                 4.1475,                 2.2618,                 1.9984,                0.51988,                0.58913,                0.54659,                0.21042,                 2.2181,                 1.3176,                 1.1236,               0.094586,             0.00058574,             0.00058574
                      7,                 4.0433,                 2.3536,                 1.9629,                0.52903,                0.58659,                0.55451,                 0.2116,                 2.1852,                 1.2947,                 1.1176,               0.093681,              0.0006806,              0.0006806
                      8,                 4.3434,                 2.5269,                 2.0782,                0.52301,                0.53687,                 0.5518,                 0.2197,                 2.1481,                 1.2402,                 1.1164,               0.092775,             0.00077466,             0.00077466
                      9,                 3.8074,                 2.1399,                 1.8088,                0.51893,                0.55054,                0.52443,                0.21674,                 2.1464,                 1.2255,                 1.1236,               0.091868,             0.00086792,             0.00086792
                     10,                 4.1668,                 2.1648,                 1.9294,                0.51525,                0.45806,                0.46331,                0.17127,                 2.2995,                 1.2783,                 1.1373,                0.09096,              0.0009604,              0.0009604
                     11,                 3.7462,                 2.0015,                 1.6811,                0.45349,                0.41902,                0.39147,                0.12298,                 2.5568,                 1.3833,                 1.1526,               0.090052,              0.0010521,              0.0010521
                     12,                 2.7342,                 1.5285,                 1.3977,                 0.3366,                 0.4038,                0.32574,                0.09514,                 2.7531,                 1.4689,                 1.1783,               0.089143,               0.001143,               0.001143
                     13,                 2.9862,                 1.7477,                 1.4363,                0.38421,                0.35181,                0.32214,                0.08533,                  2.858,                 1.5039,                 1.1788,               0.088233,              0.0012331,              0.0012331
                     14,                 2.7506,                 1.5166,                 1.3791,                0.50423,                0.40831,                0.39114,                0.11422,                 2.7074,                  1.414,                 1.1907,               0.087322,              0.0013224,              0.0013224
                     15,                 2.5614,                 1.4691,                 1.3609,                0.52213,                0.54851,                 0.5162,                0.19377,                 2.3594,                 1.3215,                 1.1804,               0.086411,              0.0014109,              0.0014109
                     16,                 2.6324,                 1.4363,                 1.3239,                0.52182,                0.55381,                0.52889,                0.20772,                 2.3152,                 1.3079,                 1.1789,               0.085499,              0.0014986,              0.0014986
                     17,                 2.4371,                 1.3049,                 1.2683,                0.50443,                0.60643,                0.54545,                 0.2088,                  2.322,                 1.3616,                 1.1753,               0.084586,              0.0015856,              0.0015856
                     18,                 2.9188,                 1.4102,                 1.3937,                0.46896,                0.54772,                 0.4937,                0.15192,                 2.6511,                 1.5299,                  1.198,               0.083672,              0.0016717,              0.0016717
                     19,                  2.262,                 1.2765,                 1.2402,                0.46825,                0.55109,                0.49651,                0.15199,                 2.6406,                 1.5111,                  1.196,               0.082757,               0.001757,               0.001757
                     20,                 2.2445,                 1.3985,                 1.2139,                0.50019,                0.52518,                0.50936,                0.18283,                  2.393,                 1.3654,                 1.1777,               0.081842,              0.0018416,              0.0018416
                     21,                 2.5617,                  1.373,                 1.3295,                 0.4747,                0.56966,                0.50688,                0.18185,                    2.4,                 1.3961,                 1.1824,               0.080925,              0.0019254,              0.0019254
                     22,                 2.2854,                 1.2656,                 1.2247,                0.43668,                0.53397,                0.45557,                 0.1531,                 2.4498,                 1.3637,                 1.1916,               0.080008,              0.0020083,              0.0020083
                     23,                 2.5474,                 1.4062,                 1.2766,                 0.4322,                0.53795,                0.43781,                0.15422,                 2.4079,                 1.3156,                 1.1962,               0.079091,              0.0020905,              0.0020905
                     24,                 2.5627,                 1.3614,                 1.3023,                0.40124,                0.50661,                  0.396,                0.12422,                 2.5019,                  1.315,                 1.2004,               0.078172,              0.0021719,              0.0021719
                     25,                 2.2828,                 1.2986,                 1.1907,                 0.4295,                0.54189,                0.43345,                0.15572,                 2.2559,                 1.2557,                 1.1856,               0.077253,              0.0022525,              0.0022525
                     26,                 2.6629,                 1.4394,                 1.2865,                0.38619,                0.49284,                0.37432,                 0.1194,                 2.5196,                 1.3314,                  1.186,               0.076332,              0.0023323,              0.0023323
                     27,                 2.1658,                 1.1704,                 1.1849,                0.44143,                0.53397,                0.43937,                0.16395,                 2.2342,                 1.2887,                 1.1803,               0.075411,              0.0024113,              0.0024113
                     28,                 2.5623,                 1.3384,                 1.2317,                0.45223,                 0.5471,                0.45741,                 0.1598,                 2.3307,                 1.2851,                 1.1727,                0.07449,              0.0024895,              0.0024895
                     29,                 2.1615,                 1.1794,                 1.1752,                0.47772,                0.57572,                0.49802,                0.19524,                 2.1062,                 1.2296,                 1.1651,               0.073567,               0.002567,               0.002567
                     30,                 2.1044,                 1.1633,                 1.1911,                 0.5404,                0.51696,                0.52019,                0.20196,                 2.1369,                 1.2237,                 1.1577,               0.072644,              0.0026436,              0.0026436
                     31,                 2.0319,                 1.2651,                 1.1469,                0.42988,                0.47509,                0.42754,                0.13327,                 2.4549,                 1.3154,                 1.1838,               0.071719,              0.0027194,              0.0027194
                     32,                 2.1347,                 1.2797,                 1.1092,                0.43754,                0.57554,                0.45423,                0.17749,                 2.1509,                 1.2495,                 1.1643,               0.070794,              0.0027945,              0.0027945
                     33,                 2.6031,                 1.4008,                 1.2133,                0.36012,                0.48976,                0.35086,                0.11176,                 2.5236,                 1.3929,                 1.2078,               0.069869,              0.0028688,              0.0028688
                     34,                 2.0847,                  1.159,                 1.1252,                0.40432,                0.53324,                 0.4153,                0.16135,                 2.1653,                 1.3578,                 1.1966,               0.068942,              0.0029422,              0.0029422
                     35,                  2.447,                 1.2684,                 1.1631,                0.35987,                0.49529,                0.37153,                0.11795,                 2.4912,                 1.3388,                 1.1902,               0.068015,              0.0030149,              0.0030149
                     36,                 2.0419,                 1.1215,                 1.1362,                0.49709,                0.48714,                0.49122,                0.19266,                 2.0916,                 1.2044,                 1.1393,               0.067087,              0.0030868,              0.0030868
                     37,                 2.0093,                 1.1104,                 1.1295,                0.47056,                0.58152,                0.52778,                0.20255,                 2.1044,                 1.2067,                 1.1278,               0.066158,              0.0031579,              0.0031579
                     38,                 2.1466,                 1.1434,                  1.156,                0.55617,                0.51304,                0.55619,                0.20561,                 2.0759,                 1.1975,                 1.1302,               0.065228,              0.0032282,              0.0032282
                     39,                  2.501,                 1.1654,                 1.2022,                0.51481,                0.45745,                0.48574,                0.17152,                  2.247,                 1.3127,                 1.1427,               0.064298,              0.0032977,              0.0032977
                     40,                 1.9611,                 1.0818,                 1.1187,                0.51297,                0.50271,                0.52727,                 0.2206,                 1.9903,                 1.2197,                 1.1395,               0.063366,              0.0033664,              0.0033664
                     41,                 2.4417,                 1.2254,                 1.1672,                 0.4471,                0.37455,                0.40577,                0.12859,                 2.4503,                 1.4248,                  1.186,               0.062434,              0.0034343,              0.0034343
                     42,                 2.2081,                 1.1479,                 1.1193,                0.50785,                0.37373,                0.44223,                0.18533,                  2.088,                 1.3111,                 1.1878,               0.061501,              0.0035015,              0.0035015
                     43,                 2.0664,                 1.0739,                 1.1141,                0.67267,                0.28409,                0.44589,                0.16046,                 2.3321,                  1.492,                  1.251,               0.060568,              0.0035678,              0.0035678
                     44,                 2.1407,                 1.1952,                 1.0981,                0.64831,                0.32536,                 0.4799,                0.20452,                 2.0851,                 1.3393,                 1.2478,               0.059633,              0.0036333,              0.0036333
                     45,                  1.852,                 1.0568,                 1.0614,                0.64819,                0.24284,                0.40032,                0.18214,                 2.2269,                 1.5346,                 1.3386,               0.058698,              0.0036981,              0.0036981
                     46,                 1.9811,                 1.1309,                  1.127,                0.66448,                0.23668,                0.41158,                0.17847,                 2.2295,                 1.6435,                 1.3713,               0.057762,              0.0037621,              0.0037621
                     47,                 2.3187,                 1.2094,                 1.1544,                0.38708,                 0.1636,                 0.2237,                0.06963,                 2.8907,                 2.1924,                 1.4524,               0.056825,              0.0038252,              0.0038252
                     48,                 2.3028,                  1.348,                 1.1035,                0.57596,                0.35326,                0.48046,                0.20592,                 2.1716,                 1.3144,                 1.1947,               0.055888,              0.0038876,              0.0038876
                     49,                 2.1799,                  1.195,                 1.1535,                0.45154,                0.45634,                0.48834,                0.18875,                 2.2502,                 1.3993,                 1.1931,               0.054949,              0.0039492,              0.0039492
                     50,                 1.8687,                 1.0384,                 1.1025,                0.47996,                0.42781,                0.48859,                0.22461,                 2.1035,                 1.3674,                 1.2459,                0.05401,                0.00401,                0.00401
                     51,                 1.7469,                0.95791,                 1.0394,                0.39452,                0.24542,                0.31426,                 0.0978,                 2.7947,                 1.6158,                 1.4277,                0.05307,                0.00407,                0.00407
                     52,                 2.0464,                 1.0633,                 1.0973,                 0.5056,                0.34258,                 0.4388,                0.20433,                 2.1786,                 1.4369,                 1.3538,               0.052129,              0.0041292,              0.0041292
                     53,                 2.0038,                 1.1571,                 1.1243,                 0.5502,                 0.4514,                0.51517,                0.20668,                 2.2562,                 1.3016,                 1.2647,               0.051188,              0.0041876,              0.0041876
                     54,                 2.1408,                 1.2527,                 1.1131,                0.42913,                0.53225,                0.47929,                0.14986,                 2.4218,                 1.2955,                 1.1913,               0.050245,              0.0042453,              0.0042453
                     55,                 2.3105,                 1.1103,                 1.1052,                0.54271,                0.63053,                0.62786,                0.26895,                  1.926,                 1.1089,                 1.1105,               0.049302,              0.0043021,              0.0043021
                     56,                  1.914,                 1.0656,                  1.085,                0.65045,                0.59565,                0.65223,                0.28287,                 1.9492,                 1.0818,                 1.0856,               0.048358,              0.0043581,              0.0043581
                     57,                 1.9896,                 1.0635,                 1.0652,                0.68415,                0.55257,                 0.6309,                0.26001,                 2.0185,                 1.0995,                 1.1161,               0.047413,              0.0044134,              0.0044134
                     58,                 1.7414,                  1.003,                 1.0855,                0.64403,                0.57319,                 0.6696,                0.30321,                 1.8913,                 1.1039,                 1.1074,               0.046468,              0.0044679,              0.0044679
