,keyword,overlap_perc,image
0,1year,59.77397163562481,bbox0.jpg
1,1day,50.892911166867286,bbox1.jpg
2,1month,93.62214618343396,bbox2.jpg
3,1sex,85.64825237820723,bbox3.jpg
4,2year,32.839342401307526,bbox4.jpg
5,2year,37.2326748806324,bbox5.jpg
6,2day,71.26883145341002,bbox6.jpg
7,2day,25.911744460845103,bbox7.jpg
8,2day,57.78159004920055,bbox8.jpg
9,2month,75.9365583523079,bbox9.jpg
10,2place,21.60745367055473,bbox10.jpg
11,2sex,70.19550737780708,bbox11.jpg
12,3year,18.635861802863637,bbox12.jpg
13,3year,28.33809319568104,bbox13.jpg
14,3year,27.75622005048738,bbox14.jpg
15,3day,44.07478931374397,bbox15.jpg
16,3day,22.18805067982144,bbox16.jpg
17,3day,63.55296774849456,bbox17.jpg
18,3month,54.54652703630266,bbox18.jpg
19,3place,22.486539978177422,bbox19.jpg
20,3place,73.08281230062524,bbox20.jpg
21,3place,52.66683679979588,bbox21.jpg
22,3sex,57.89713505896834,bbox22.jpg
23,3sex,24.13111626005173,bbox23.jpg
24,3name,20.662162675294677,bbox24.jpg
